SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
160,12--37,13--37,14--37,16--37,17--37,19--37,20--37,22--37,24--37,25--37,27--37,28--37,30--37,31--37,32--37,34--37,35--37,36--37,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,-,12,-,15,-,-,-,-,23,-,26,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,11,-,13,-,-,-,-,-,-,24,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,16,-,-,-,-,-,-,27,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,11,-,-,-,-,19,-,-,-,-,-,-,-,31,-,-,-,36,37,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,14,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,17,-,-,-,-,25,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,10,-,12,-,-,-,-,20,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,15,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,-,10,-,-,-,-,-,-,-,-,-,26,-,29,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,13,-,-,18,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,9,-,11,-,-,16,-,-,-,-,24,-,27,-,30,-,-,-,35,36,37,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,9,-,-,14,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,17,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
