rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,81,74,70,69,67,61,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,103,96,83,76,72,66,58,51,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,108,104,95,84,78,71,63,55,48,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,114,110,103,91,83,76,68,60,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,119,115,109,99,89,81,73,65,57,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,124,121,115,105,94,86,78,70,62,55,48,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,130,126,120,110,100,91,82,74,67,59,52,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,135,132,126,116,106,96,87,79,71,64,57,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,141,137,131,122,111,101,92,84,76,68,61,55,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
9,146,143,137,127,117,107,97,88,80,73,66,59,53,47,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
10,151,148,142,133,123,113,102,93,85,77,70,63,57,51,46,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40
11,157,154,148,139,129,119,108,98,90,82,75,68,61,55,50,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40
12,160,159,154,144,134,124,114,103,94,86,79,72,65,59,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40
13,160,160,159,150,140,130,120,109,99,91,83,76,70,64,58,53,48,43,40,40,40,40,40,40,40,40,40,40,40,40
14,160,160,160,156,146,136,126,115,105,95,88,81,74,68,62,57,52,47,43,40,40,40,40,40,40,40,40,40,40,40
15,160,160,160,160,152,142,132,121,111,100,92,85,78,72,66,61,56,51,47,43,40,40,40,40,40,40,40,40,40,40
16,160,160,160,160,157,148,138,127,117,106,97,89,82,76,70,65,59,55,51,47,44,41,40,40,40,40,40,40,40,40
17,160,160,160,160,160,154,144,133,123,112,102,94,87,80,74,68,63,59,54,51,47,44,42,40,40,40,40,40,40,40
18,160,160,160,160,160,159,150,139,129,119,108,98,91,84,78,72,67,63,58,54,51,48,45,43,42,41,40,40,40,40
19,160,160,160,160,160,160,156,146,135,125,114,103,95,88,82,76,71,66,62,58,55,52,49,47,45,44,43,43,43,43
20,160,160,160,160,160,160,160,152,141,131,121,110,99,93,86,80,75,70,66,62,58,55,53,50,49,47,47,46,46,46
21,160,160,160,160,160,160,160,158,148,137,127,116,106,97,90,84,79,74,70,65,62,59,56,54,52,51,50,49,49,49
22,160,160,160,160,160,160,160,160,154,144,133,123,112,101,94,88,83,78,73,69,66,62,60,57,55,54,53,53,53,52
23,160,160,160,160,160,160,160,160,160,150,140,129,119,108,99,92,87,82,77,73,69,66,63,61,59,57,56,56,56,56
24,160,160,160,160,160,160,160,160,160,156,146,136,125,115,104,96,91,86,81,77,73,69,67,64,62,61,60,59,59,59
25,160,160,160,160,160,160,160,160,160,160,152,142,132,121,111,101,95,89,85,80,76,73,70,68,66,64,63,62,62,62
26,160,160,160,160,160,160,160,160,160,160,159,148,138,128,118,108,99,93,88,84,80,77,74,71,69,67,66,66,65,65
27,160,160,160,160,160,160,160,160,160,160,160,155,145,135,125,115,105,97,92,88,84,80,77,75,72,71,70,69,69,68
28,160,160,160,160,160,160,160,160,160,160,160,160,151,141,131,122,112,102,96,91,87,84,81,78,76,74,73,72,72,71
29,160,160,160,160,160,160,160,160,160,160,160,160,158,148,138,128,119,109,100,95,91,87,84,82,79,77,76,75,75,75
30,160,160,160,160,160,160,160,160,160,160,160,160,160,155,145,135,126,116,107,99,95,91,88,85,83,81,79,79,78,78
31,160,160,160,160,160,160,160,160,160,160,160,160,160,160,152,142,133,123,114,105,98,95,91,88,86,84,83,82,81,81
32,160,160,160,160,160,160,160,160,160,160,160,160,160,160,159,149,140,131,121,113,104,98,95,92,89,88,86,85,85,84
33,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,156,147,138,129,120,112,104,98,95,93,91,89,88,88,87
34,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,145,136,128,119,112,104,99,96,94,93,92,91,91
35,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,152,143,135,127,119,112,105,100,98,96,95,94,94
36,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,159,151,143,135,127,120,113,108,102,99,98,97,97
37,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,150,142,135,128,122,116,111,107,103,101,100
