SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,15--36,15--36,16--36,17--36,18--36,19--36,20--36,21--36,22--36,23--36,25--36,26--36,27--36,29--36,30--36,31--36,33--36,34--36,36,-,-,-,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,-,-,-,24,-,-,28,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,17,18,19,20,-,-,-,25,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
157,14,-,-,16,-,-,-,-,21,-,-,-,-,-,29,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-
156,-,-,15,-,-,-,-,-,-,-,-,-,26,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,14,-,-,-,-,-,-,-,-,23,-,-,27,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,16,17,18,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-
152,13,-,-,15,-,-,-,19,-,-,-,24,-,-,28,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-
151,-,-,14,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,-,-,-,-,-,21,-,-,25,-,-,-,-,32,-,-,36,-,-,-,-,-,-,-,-,-
149,-,13,-,-,-,-,-,-,-,-,22,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,16,-,-,-,-,-,-,-,26,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-
147,12,-,-,14,15,-,17,18,-,-,-,23,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,-,-,-,-,-,-,-,19,-,-,-,-,-,27,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
145,-,-,13,-,-,-,-,-,-,20,-,-,24,-,-,-,-,31,-,-,35,-,-,-,-,-,-,-,-,-
144,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-,-,21,-,-,25,-,-,-,-,32,-,-,36,-,-,-,-,-,-,-,-
142,-,-,-,-,14,15,16,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
141,11,-,-,13,-,-,-,17,18,-,-,22,-,-,26,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-
140,-,-,12,-,-,-,-,-,-,-,-,-,23,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,27,-,-,-,-,34,-,-,-,-,-,-,-,-,-
138,-,11,-,-,-,-,-,-,-,-,20,-,-,24,-,-,-,-,31,-,-,35,-,-,-,-,-,-,-,-
137,-,-,-,-,13,14,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,10,-,-,12,-,-,-,16,-,-,-,21,-,-,-,-,28,-,-,32,-,-,36,-,-,-,-,-,-,-
135,-,-,11,-,-,-,-,-,17,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,-,-,-,-,-,-,-,18,-,-,22,-,-,-,-,29,-,-,33,-,-,-,-,-,-,-,-,-
133,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,-,-,-,-,-,-,-,-,-,19,-,-,23,-,-,-,-,30,-,-,34,-,-,-,-,-,-,-,-
131,-,-,-,-,12,13,14,15,-,-,-,20,-,-,-,-,27,-,-,-,-,-,35,-,-,-,-,-,-,-
130,9,-,-,11,-,-,-,-,16,-,-,-,-,-,24,-,-,-,-,31,-,-,-,36,-,-,-,-,-,-
129,-,-,10,-,-,-,-,-,-,17,-,-,21,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-
128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,32,-,-,-,-,-,-,-,-,-
127,-,9,-,-,-,-,-,-,-,-,18,-,-,22,-,-,-,-,29,-,-,33,-,-,-,-,-,-,-,-
126,-,-,-,-,11,12,13,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-
125,8,-,-,10,-,-,-,14,-,-,-,19,-,-,23,-,-,-,-,30,-,-,34,-,-,-,-,-,-,-
124,-,-,9,-,-,-,-,-,15,-,-,-,-,-,-,-,-,27,-,-,-,-,-,35,36,-,-,-,-,-
123,-,-,-,-,-,-,-,-,-,16,-,-,20,-,-,24,-,-,-,-,31,-,-,-,-,-,-,-,-,-
122,-,8,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,-,11,-,-,-,-,-,-,-,21,-,-,-,-,28,-,-,32,-,-,-,-,-,-,-,-
120,7,-,-,9,10,-,12,13,-,-,-,18,-,-,-,-,25,-,-,-,-,-,33,-,-,-,-,-,-,-
119,-,-,-,-,-,-,-,-,14,-,-,-,-,-,22,-,-,-,-,29,-,-,-,34,-,-,-,-,-,-
118,-,-,8,-,-,-,-,-,-,15,-,-,19,-,-,-,-,26,-,-,30,-,-,-,35,36,-,-,-,-
117,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,-,-,-,-,-,-,-,-,-,-,16,-,-,20,-,-,-,-,27,-,-,31,-,-,-,-,-,-,-,-
115,-,-,-,-,9,10,11,12,-,-,-,17,-,-,-,-,24,-,-,-,-,-,32,-,-,-,-,-,-,-
114,6,-,-,8,-,-,-,-,13,-,-,-,-,-,21,-,-,-,-,28,-,-,-,33,-,-,-,-,-,-
113,-,-,7,-,-,-,-,-,-,-,-,-,18,-,-,-,-,25,-,-,-,-,-,-,34,-,-,-,-,-
112,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,22,-,-,-,-,29,-,-,-,-,35,36,-,-,-
111,-,6,-,-,-,-,-,-,-,-,15,-,-,19,-,-,-,-,26,-,-,30,-,-,-,-,-,-,-,-
110,-,-,-,-,8,9,10,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-
109,5,-,-,7,-,-,-,11,-,-,-,16,-,-,20,-,-,-,-,27,-,-,31,-,-,-,-,-,-,-
108,-,-,6,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,36,-,-
107,-,-,-,-,-,-,-,-,-,13,-,-,17,-,-,-,-,24,-,-,28,-,-,-,33,34,35,-,-,-
106,-,5,-,-,-,-,-,-,-,-,14,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,25,-,-,29,-,-,-,-,-,-,-,-
104,-,-,-,-,7,8,9,10,-,-,-,15,-,-,-,-,22,-,-,-,-,-,30,-,-,-,-,-,-,-
103,4,-,-,6,-,-,-,-,11,-,-,-,-,-,19,-,-,-,-,26,-,-,-,31,-,-,-,-,36,-
102,-,-,5,-,-,-,-,-,-,12,-,-,16,-,-,-,-,23,-,-,27,-,-,-,32,33,34,35,-,-
101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,-,4,-,-,-,-,-,-,-,-,13,-,-,17,-,-,-,-,24,-,-,28,-,-,-,-,-,-,-,36
99,-,-,-,-,6,7,8,-,-,-,-,14,-,-,18,-,21,-,-,25,-,-,29,30,31,-,-,34,35,-
98,-,-,-,5,-,-,-,9,10,-,-,-,15,-,-,-,-,22,-,-,26,-,-,-,-,32,33,-,-,35
