rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
0,85,83,80,77,73,68,63,58,52,46,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,91,89,86,82,78,73,68,63,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,97,95,92,88,83,78,73,67,62,56,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,103,101,98,94,89,84,78,72,66,60,54,48,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,107,106,103,99,94,89,83,77,71,65,59,53,46,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,112,110,108,104,100,94,88,82,76,69,63,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,117,115,112,109,104,99,93,87,81,74,68,61,55,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,122,120,117,114,109,104,98,92,85,79,72,66,59,53,47,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,126,125,122,119,114,109,103,97,90,83,77,70,63,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
9,131,129,127,124,119,114,108,102,95,88,81,74,68,61,55,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
10,136,134,132,128,124,119,113,107,100,93,86,79,72,65,59,53,47,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
11,140,139,137,133,129,124,118,112,105,97,90,83,76,70,63,57,51,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
12,145,144,141,138,134,129,123,117,110,102,95,87,80,74,67,61,55,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40
13,150,149,146,143,139,134,128,122,115,107,99,92,85,78,71,65,59,53,48,43,40,40,40,40,40,40,40,40,40,40,40,40,40
14,155,153,151,148,144,139,133,127,120,112,104,96,89,82,75,69,63,57,51,46,42,40,40,40,40,40,40,40,40,40,40,40,40
15,159,158,156,153,149,144,138,132,125,118,109,101,93,86,79,73,66,61,55,50,45,41,40,40,40,40,40,40,40,40,40,40,40
16,160,160,160,158,154,149,144,137,130,123,115,106,97,90,83,77,70,64,59,54,49,44,41,40,40,40,40,40,40,40,40,40,40
17,160,160,160,160,159,154,149,142,135,128,120,111,102,94,87,81,74,68,62,57,52,48,44,41,40,40,40,40,40,40,40,40,40
18,160,160,160,160,160,159,154,147,141,133,125,117,108,99,91,85,78,72,66,61,56,51,47,44,41,40,40,40,40,40,40,40,40
19,160,160,160,160,160,160,159,153,146,138,130,122,113,103,95,88,82,76,70,64,59,55,51,47,44,42,40,40,40,40,40,40,40
20,160,160,160,160,160,160,160,158,151,144,136,127,118,109,99,92,86,79,73,68,63,58,54,50,47,45,43,41,40,40,40,41,42
21,160,160,160,160,160,160,160,160,156,149,141,133,124,114,105,96,90,83,77,71,66,62,57,54,51,48,46,44,43,43,43,44,44
22,160,160,160,160,160,160,160,160,160,154,146,138,129,120,110,100,93,87,81,75,70,65,61,57,54,51,49,47,46,46,46,46,47
23,160,160,160,160,160,160,160,160,160,159,151,143,134,125,116,106,97,91,84,79,73,69,64,60,57,54,52,50,49,49,49,49,50
24,160,160,160,160,160,160,160,160,160,160,157,148,140,131,121,112,102,94,88,82,77,72,68,64,60,57,55,53,52,52,51,52,53
